master_observation_id,season,master_variable,source_module,source_file,source_variable,source_observation_id,transformation,verification_status
MST-2017-0263,2017/18,outgoing_count,TRANSFER,arsenal_transfers.csv,outgoing_count,TRX-201718-OUT-012; TRX-201718-OUT-013; TRX-201718-OUT-014; TRX-201718-OUT-015; TRX-201718-OUT-016; TRX-201718-OUT-017; TRX-201718-OUT-018; TRX-201718-OUT-019; TRX-201718-OUT-020,count of outgoing transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0264,2017/18,permanent_count,TRANSFER,arsenal_transfers.csv,permanent_count,TRX-201718-IN-008; TRX-201718-IN-009; TRX-201718-IN-010; TRX-201718-IN-011; TRX-201718-IN-012; TRX-201718-OUT-012; TRX-201718-OUT-013; TRX-201718-OUT-014; TRX-201718-OUT-015; TRX-201718-OUT-016; TRX-201718-OUT-017; TRX-201718-OUT-018; TRX-201718-OUT-019; TRX-201718-OUT-020,count of permanent transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0265,2017/18,loan_count,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,loan_count,TRX-DER-2017-LOAN_COUNT,count of temporary loan arrangements in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0266,2017/18,exact_fee_count,TRANSFER,arsenal_transfers.csv,exact_fee_count,TRX-201718-IN-009; TRX-201718-IN-012; TRX-201718-OUT-012,count where fee_value_status == 'EXACT',Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0267,2017/18,estimated_fee_count,TRANSFER,arsenal_transfers.csv,estimated_fee_count,TRX-201718-IN-010; TRX-201718-OUT-013; TRX-201718-OUT-014; TRX-201718-OUT-015; TRX-201718-OUT-016; TRX-201718-OUT-017; TRX-201718-OUT-019,"count where fee_value_status in {'ESTIMATED', 'BASE_PLUS_ADDONS'}",Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0268,2017/18,undisclosed_fee_count,TRANSFER,arsenal_transfers.csv,undisclosed_fee_count,TRX-201718-IN-010; TRX-201718-OUT-013; TRX-201718-OUT-014; TRX-201718-OUT-015; TRX-201718-OUT-016; TRX-201718-OUT-017; TRX-201718-OUT-019,count where fee_disclosure_status == 'UNDISCLOSED',Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0269,2017/18,zero_free_count,TRANSFER,arsenal_transfers.csv,zero_free_count,TRX-201718-IN-008; TRX-201718-IN-011; TRX-201718-OUT-018; TRX-201718-OUT-020,count where fee_value_status == 'ZERO',Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0270,2017/18,loan_fee_count,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,loan_fee_count,TRX-DER-2017-LOAN_FEE_COUNT,count where fee_value_status == 'LOAN_FEE',Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0271,2017/18,transaction_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,transaction_coverage_pct,TRX-DER-2017-TRX_COV_PCT,(verified_transactions / identified_total) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0272,2017/18,numerical_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,numerical_fee_coverage_pct,TRX-DER-2017-NUM_COV_PCT,(numerical_fees / non_free_transactions) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0273,2017/18,exact_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,exact_fee_coverage_pct,TRX-DER-2017-EXACT_COV_PCT,(exact_fee_count / transaction_count) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0274,2017/18,primary_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,primary_fee_coverage_pct,TRX-DER-2017-PRIM_COV_PCT,((exact_fee_count + zero_free_count) / transaction_count) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0275,2017/18,estimated_value_share_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,estimated_value_share_pct,TRX-DER-2017-EST_VAL_SHARE,(estimated_consideration / total_season_consideration) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0276,2017/18,classification,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,classification,TRX-DER-2017-CLASS,Structural classification: all 10 seasons verified as CORE,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0277,2017/18,notes,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,notes,TRX-DER-2017-NOTES,Structured seasonal transfer audit summary string,Reconciled Transaction Ledger & Primary Disclosures
MST-2017-0278,2017/18,league_position,SPORTING,arsenal_sporting.csv,league_position,SPT-PROV-2017-089,Direct Ranking from Official Table,Primary Regulatory Record
MST-2017-0279,2017/18,points,SPORTING,arsenal_sporting.csv,points,SPT-PROV-2017-090,None (Directly Reported),Primary Regulatory Record
MST-2017-0280,2017/18,matches_played,SPORTING,arsenal_sporting.csv,matches_played,SPT-PROV-2017-091,None (Directly Reported),Primary Regulatory Record
MST-2017-0281,2017/18,wins,SPORTING,arsenal_sporting.csv,wins,SPT-PROV-2017-092,None (Directly Reported),Primary Regulatory Record
MST-2017-0282,2017/18,draws,SPORTING,arsenal_sporting.csv,draws,SPT-PROV-2017-093,None (Directly Reported),Primary Regulatory Record
MST-2017-0283,2017/18,losses,SPORTING,arsenal_sporting.csv,losses,SPT-PROV-2017-094,None (Directly Reported),Primary Regulatory Record
MST-2017-0284,2017/18,goals_for,SPORTING,arsenal_sporting.csv,goals_for,SPT-PROV-2017-095,None (Directly Reported),Primary Regulatory Record
MST-2017-0285,2017/18,goals_against,SPORTING,arsenal_sporting.csv,goals_against,SPT-PROV-2017-096,None (Directly Reported),Primary Regulatory Record
MST-2017-0286,2017/18,goal_difference,SPORTING,arsenal_sporting.csv,goal_difference,SPT-PROV-2017-097,goals_for - goals_against,Derived from Primary Inputs
MST-2017-0287,2017/18,ppg,SPORTING,arsenal_sporting.csv,ppg,SPT-PROV-2017-098,points / matches_played,Derived from Primary Inputs
MST-2017-0288,2017/18,fa_cup_stage,SPORTING,arsenal_sporting.csv,fa_cup_stage,SPT-PROV-2017-099,Direct Tournament Round Record,Primary Regulatory Record
MST-2017-0289,2017/18,fa_cup_matches,SPORTING,arsenal_sporting.csv,fa_cup_matches,SPT-PROV-2017-100,Direct Match Count,Primary Regulatory Record
MST-2017-0290,2017/18,fa_cup_wins,SPORTING,arsenal_sporting.csv,fa_cup_wins,SPT-PROV-2017-101,Direct Match Count,Primary Regulatory Record
MST-2017-0291,2017/18,fa_cup_draws,SPORTING,arsenal_sporting.csv,fa_cup_draws,SPT-PROV-2017-102,Direct Match Count,Primary Regulatory Record
MST-2017-0292,2017/18,fa_cup_losses,SPORTING,arsenal_sporting.csv,fa_cup_losses,SPT-PROV-2017-103,Direct Match Count,Primary Regulatory Record
MST-2017-0293,2017/18,fa_cup_goals_for,SPORTING,arsenal_sporting.csv,fa_cup_goals_for,SPT-PROV-2017-104,Direct Goal Sum,Primary Regulatory Record
MST-2017-0294,2017/18,fa_cup_goals_against,SPORTING,arsenal_sporting.csv,fa_cup_goals_against,SPT-PROV-2017-105,Direct Goal Sum,Primary Regulatory Record
MST-2017-0295,2017/18,fa_cup_trophy,SPORTING,arsenal_sporting.csv,fa_cup_trophy,SPT-PROV-2017-106,Direct Tournament Victory Record,Primary Regulatory Record
MST-2017-0296,2017/18,league_cup_stage,SPORTING,arsenal_sporting.csv,league_cup_stage,SPT-PROV-2017-107,Direct Tournament Round Record,Primary Regulatory Record
MST-2017-0297,2017/18,league_cup_matches,SPORTING,arsenal_sporting.csv,league_cup_matches,SPT-PROV-2017-108,Direct Match Count,Primary Regulatory Record
MST-2017-0298,2017/18,league_cup_wins,SPORTING,arsenal_sporting.csv,league_cup_wins,SPT-PROV-2017-109,Direct Match Count,Primary Regulatory Record
MST-2017-0299,2017/18,league_cup_draws,SPORTING,arsenal_sporting.csv,league_cup_draws,SPT-PROV-2017-110,Direct Match Count,Primary Regulatory Record
MST-2017-0300,2017/18,league_cup_losses,SPORTING,arsenal_sporting.csv,league_cup_losses,SPT-PROV-2017-111,Direct Match Count,Primary Regulatory Record
MST-2017-0301,2017/18,league_cup_goals_for,SPORTING,arsenal_sporting.csv,league_cup_goals_for,SPT-PROV-2017-112,Direct Goal Sum,Primary Regulatory Record
MST-2017-0302,2017/18,league_cup_goals_against,SPORTING,arsenal_sporting.csv,league_cup_goals_against,SPT-PROV-2017-113,Direct Goal Sum,Primary Regulatory Record
MST-2017-0303,2017/18,league_cup_trophy,SPORTING,arsenal_sporting.csv,league_cup_trophy,SPT-PROV-2017-114,Direct Tournament Victory Record,Primary Regulatory Record
MST-2017-0304,2017/18,europe_competition,SPORTING,arsenal_sporting.csv,europe_competition,SPT-PROV-2017-115,Direct UEFA Participation Record,Primary Regulatory Record
MST-2017-0305,2017/18,europe_stage,SPORTING,arsenal_sporting.csv,europe_stage,SPT-PROV-2017-116,Direct UEFA Round Record,Primary Regulatory Record
MST-2017-0306,2017/18,europe_matches,SPORTING,arsenal_sporting.csv,europe_matches,SPT-PROV-2017-117,Direct Match Count,Primary Regulatory Record
MST-2017-0307,2017/18,europe_wins,SPORTING,arsenal_sporting.csv,europe_wins,SPT-PROV-2017-118,Direct Match Count,Primary Regulatory Record
MST-2017-0308,2017/18,europe_draws,SPORTING,arsenal_sporting.csv,europe_draws,SPT-PROV-2017-119,Direct Match Count,Primary Regulatory Record
MST-2017-0309,2017/18,europe_losses,SPORTING,arsenal_sporting.csv,europe_losses,SPT-PROV-2017-120,Direct Match Count,Primary Regulatory Record
MST-2017-0310,2017/18,europe_goals_for,SPORTING,arsenal_sporting.csv,europe_goals_for,SPT-PROV-2017-121,Direct Goal Sum,Primary Regulatory Record
MST-2017-0311,2017/18,europe_goals_against,SPORTING,arsenal_sporting.csv,europe_goals_against,SPT-PROV-2017-122,Direct Goal Sum,Primary Regulatory Record
MST-2017-0312,2017/18,europe_trophy,SPORTING,arsenal_sporting.csv,europe_trophy,SPT-PROV-2017-123,Direct Tournament Victory Record,Primary Regulatory Record
MST-2017-0313,2017/18,xg,SPORTING,arsenal_sporting.csv,xg,SPT-PROV-2017-124,Direct Model Sum (Understat),Third-Party Analytics Model
MST-2017-0314,2017/18,xga,SPORTING,arsenal_sporting.csv,xga,SPT-PROV-2017-125,Direct Model Sum (Understat),Third-Party Analytics Model
MST-2017-0315,2017/18,xgd,SPORTING,arsenal_sporting.csv,xgd,SPT-PROV-2017-126,xg - xga,Derived from Third-Party Inputs
MST-2017-0316,2017/18,xpts,SPORTING,arsenal_sporting.csv,xpts,SPT-PROV-2017-127,Understat/model-derived metric,Third-Party Analytics Model
MST-2017-0317,2017/18,ppda,SPORTING,arsenal_sporting.csv,ppda,SPT-PROV-2017-128,Direct Model: sum(att) / sum(def),Third-Party Analytics Model
MST-2017-0318,2017/18,possession_pct,SPORTING,arsenal_sporting.csv,possession_pct,SPT-PROV-2017-129,Arithmetic mean: raw_possession / 38,Derived from Primary Inputs
MST-2017-0319,2017/18,shots,SPORTING,arsenal_sporting.csv,shots,SPT-PROV-2017-130,Direct: total_scoring_att,Primary Regulatory Record
MST-2017-0320,2017/18,shots_on_target,SPORTING,arsenal_sporting.csv,shots_on_target,SPT-PROV-2017-131,Direct: ontarget_scoring_att,Primary Regulatory Record
MST-2017-0321,2017/18,covid_disruption_flag,SPORTING,arsenal_sporting.csv,covid_disruption_flag,SPT-PROV-2017-132,Direct: Calendar Shock,Primary Regulatory Record
MST-2018-0322,2018/19,financial_year,FINANCIAL,arsenal_financials.csv,financial_year,FIN-FY2019-FOOTBA-0058,Direct Calendar Alignment (31 May),Audited Statutory Accounts (Companies House)
MST-2018-0323,2018/19,football_turnover,FINANCIAL,arsenal_financials.csv,football_turnover,FIN-FY2019-FOOTBA-0058,None (Directly Reported in £m),Primary Audited
MST-2018-0324,2018/19,total_turnover,FINANCIAL,arsenal_financials.csv,total_turnover,FIN-FY2019-TOTAL_-0059,None (Directly Reported in £m),Primary Audited
MST-2018-0325,2018/19,broadcast_revenue,FINANCIAL,arsenal_financials.csv,broadcast_revenue,FIN-FY2019-BROADC-0060,None (Directly Reported in £m),Primary Audited
MST-2018-0326,2018/19,commercial_revenue,FINANCIAL,arsenal_financials.csv,commercial_revenue,FIN-FY2019-COMMER-0061,None (Directly Reported in £m),Primary Audited
MST-2018-0327,2018/19,matchday_revenue,FINANCIAL,arsenal_financials.csv,matchday_revenue,FIN-FY2019-MATCHD-0062,None (Directly Reported in £m),Primary Audited
MST-2018-0328,2018/19,staff_costs,FINANCIAL,arsenal_financials.csv,staff_costs,FIN-FY2019-STAFF_-0063,None (Directly Reported in £m),Primary Audited
MST-2018-0329,2018/19,operating_expenses,FINANCIAL,arsenal_financials.csv,operating_expenses,FIN-FY2019-OPERAT-0064,None (Directly Reported in £m),Primary Audited
MST-2018-0330,2018/19,player_amortisation,FINANCIAL,arsenal_financials.csv,player_amortisation,FIN-FY2019-PLAYER-0065,None (Directly Reported in £m),Primary Audited
MST-2018-0331,2018/19,player_impairment,FINANCIAL,arsenal_financials.csv,player_impairment,FIN-FY2019-PLAYER-0066,None (Directly Reported in £m),Primary Audited
MST-2018-0332,2018/19,depreciation,FINANCIAL,arsenal_financials.csv,depreciation,FIN-FY2019-DEPREC-0067,None (Directly Reported in £m),Primary Audited
MST-2018-0333,2018/19,operating_profit_loss,FINANCIAL,arsenal_financials.csv,operating_profit_loss,FIN-FY2019-OPERAT-0068,None (Directly Reported in £m),Primary Audited
MST-2018-0334,2018/19,net_profit_loss,FINANCIAL,arsenal_financials.csv,net_profit_loss,FIN-FY2019-NET_PR-0069,None (Directly Reported in £m),Primary Audited
MST-2018-0335,2018/19,cash,FINANCIAL,arsenal_financials.csv,cash,FIN-FY2019-CASH-0070,None (Directly Reported in £m),Primary Audited
MST-2018-0336,2018/19,gross_debt,FINANCIAL,arsenal_financials.csv,gross_debt,FIN-FY2019-GROSS_-0071,None (Directly Reported in £m),Primary Audited
MST-2018-0337,2018/19,net_debt,FINANCIAL,arsenal_financials.csv,net_debt,FIN-FY2019-NET_DE-0072,gross_debt - cash,Primary Audited
MST-2018-0338,2018/19,net_finance_costs,FINANCIAL,arsenal_financials.csv,net_finance_costs,FIN-FY2019-NET_FI-0073,None (Directly Reported in £m),Primary Audited
MST-2018-0339,2018/19,profit_on_player_disposals,FINANCIAL,arsenal_financials.csv,profit_on_player_disposals,FIN-FY2019-PROFIT-0074,None (Directly Reported in £m),Primary Audited
MST-2018-0340,2018/19,player_registration_additions,FINANCIAL,arsenal_financials.csv,player_registration_additions,FIN-FY2019-PLAYER-0075,None (Directly Reported in £m),Primary Audited
MST-2018-0341,2018/19,player_registration_nbv,FINANCIAL,arsenal_financials.csv,player_registration_nbv,FIN-FY2019-PLAYER-0076,None (Directly Reported in £m),Primary Audited
MST-2018-0342,2018/19,revenue_growth_pct,FINANCIAL,arsenal_financials.csv,revenue_growth_pct,DER-FY2019-REVENU-0221,((football_turnover_t - football_turnover_{t-1}) / football_turnover_{t-1}) * 100,Derived Analytical
MST-2018-0343,2018/19,commercial_share_pct,FINANCIAL,arsenal_financials.csv,commercial_share_pct,DER-FY2019-COMMER-0222,(commercial_revenue / football_turnover) * 100,Derived Analytical
MST-2018-0344,2018/19,broadcast_share_pct,FINANCIAL,arsenal_financials.csv,broadcast_share_pct,DER-FY2019-BROADC-0223,(broadcast_revenue / football_turnover) * 100,Derived Analytical
MST-2018-0345,2018/19,matchday_share_pct,FINANCIAL,arsenal_financials.csv,matchday_share_pct,DER-FY2019-MATCHD-0224,(matchday_revenue / football_turnover) * 100,Derived Analytical
MST-2018-0346,2018/19,wage_to_revenue_pct,FINANCIAL,arsenal_financials.csv,wage_to_revenue_pct,DER-FY2019-WAGE_T-0225,(staff_costs / football_turnover) * 100,Derived Analytical
MST-2018-0347,2018/19,operating_margin_pct,FINANCIAL,arsenal_financials.csv,operating_margin_pct,DER-FY2019-OPERAT-0226,(operating_profit_loss / football_turnover) * 100,Derived Analytical
MST-2018-0348,2018/19,net_margin_pct,FINANCIAL,arsenal_financials.csv,net_margin_pct,DER-FY2019-NET_MA-0227,(net_profit_loss / football_turnover) * 100,Derived Analytical
MST-2018-0349,2018/19,net_debt_to_revenue_pct,FINANCIAL,arsenal_financials.csv,net_debt_to_revenue_pct,DER-FY2019-NET_DE-0228,(net_debt / football_turnover) * 100,Derived Analytical
MST-2018-0350,2018/19,net_finance_cost_to_revenue_pct,FINANCIAL,arsenal_financials.csv,net_finance_cost_to_revenue_pct,DER-FY2019-NET_FI-0229,(net_finance_costs / football_turnover) * 100,Derived Analytical
MST-2018-0351,2018/19,amortisation_to_revenue_pct,FINANCIAL,arsenal_financials.csv,amortisation_to_revenue_pct,DER-FY2019-AMORTI-0230,(player_amortisation / football_turnover) * 100,Derived Analytical
MST-2018-0352,2018/19,permanent_gross_transfer_spend,TRANSFER,arsenal_transfers.csv,permanent_gross_transfer_spend,TRX-201819-IN-013; TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017,sum(fee_gbp) for permanent incoming transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0353,2018/19,loan_fee_spend,TRANSFER,arsenal_transfers.csv,loan_fee_spend,TRX-201819-IN-018,sum(fee_gbp) for loan incoming transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0354,2018/19,total_transfer_consideration,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_transfer_consideration,TRX-DER-2018-TOTAL_CONSID,permanent_gross_transfer_spend + loan_fee_spend,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0355,2018/19,permanent_transfer_income,TRANSFER,arsenal_transfers.csv,permanent_transfer_income,TRX-201819-OUT-021; TRX-201819-OUT-022; TRX-201819-OUT-023; TRX-201819-OUT-024; TRX-201819-OUT-025,sum(fee_gbp) for permanent outgoing transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0356,2018/19,loan_income,TRANSFER,arsenal_transfers.csv,loan_income,TRX-201819-OUT-026,sum(fee_gbp) for loan outgoing transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0357,2018/19,total_transfer_income,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_transfer_income,TRX-DER-2018-TOTAL_INCOME,permanent_transfer_income + loan_income,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0358,2018/19,permanent_net_transfer_spend,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,permanent_net_transfer_spend,TRX-DER-2018-PERM_NET,permanent_gross_transfer_spend - permanent_transfer_income,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0359,2018/19,total_net_transfer_consideration,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_net_transfer_consideration,TRX-DER-2018-TOTAL_NET,total_transfer_consideration - total_transfer_income,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0360,2018/19,primary_transfer_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,primary_transfer_spend_to_revenue_pct,TRX-DER-2018-PRIM_SPEND_REV,(permanent_gross_transfer_spend / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0361,2018/19,total_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_spend_to_revenue_pct,TRX-DER-2018-TOT_SPEND_REV,(total_transfer_consideration / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0362,2018/19,permanent_net_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,permanent_net_spend_to_revenue_pct,TRX-DER-2018-PERM_NET_REV,(permanent_net_transfer_spend / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0363,2018/19,total_net_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_net_spend_to_revenue_pct,TRX-DER-2018-TOT_NET_REV,(total_net_transfer_consideration / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0364,2018/19,upper_bound_permanent_spend,TRANSFER,arsenal_transfers.csv,upper_bound_permanent_spend,TRX-201819-IN-013; TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017,sum(fee_gbp + add_on_fee) for permanent incoming,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0365,2018/19,upper_bound_total_consideration,TRANSFER,arsenal_transfers.csv,upper_bound_total_consideration,TRX-201819-IN-013; TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017; TRX-201819-IN-018,sum(fee_gbp + add_on_fee) for all incoming,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0366,2018/19,spend_add_on_differential,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,spend_add_on_differential,TRX-DER-2018-SPEND_DIFF,upper_bound_permanent_spend - permanent_gross_transfer_spend,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0367,2018/19,spend_sensitivity_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,spend_sensitivity_pct,TRX-DER-2018-SPEND_SENS_PCT,(spend_add_on_differential / permanent_gross_transfer_spend) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0368,2018/19,transaction_count,TRANSFER,arsenal_transfers.csv,transaction_count,TRX-201819-IN-013; TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017; TRX-201819-IN-018; TRX-201819-OUT-021; TRX-201819-OUT-022; TRX-201819-OUT-023; TRX-201819-OUT-024; TRX-201819-OUT-025; TRX-201819-OUT-026,count of all transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0369,2018/19,incoming_count,TRANSFER,arsenal_transfers.csv,incoming_count,TRX-201819-IN-013; TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017; TRX-201819-IN-018,count of incoming transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0370,2018/19,outgoing_count,TRANSFER,arsenal_transfers.csv,outgoing_count,TRX-201819-OUT-021; TRX-201819-OUT-022; TRX-201819-OUT-023; TRX-201819-OUT-024; TRX-201819-OUT-025; TRX-201819-OUT-026,count of outgoing transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0371,2018/19,permanent_count,TRANSFER,arsenal_transfers.csv,permanent_count,TRX-201819-IN-013; TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017; TRX-201819-OUT-021; TRX-201819-OUT-022; TRX-201819-OUT-023; TRX-201819-OUT-024; TRX-201819-OUT-025,count of permanent transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0372,2018/19,loan_count,TRANSFER,arsenal_transfers.csv,loan_count,TRX-201819-IN-018; TRX-201819-OUT-026,count of temporary loan arrangements in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0373,2018/19,exact_fee_count,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,exact_fee_count,TRX-DER-2018-EXACT_COUNT,count where fee_value_status == 'EXACT',Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0374,2018/19,estimated_fee_count,TRANSFER,arsenal_transfers.csv,estimated_fee_count,TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017; TRX-201819-OUT-024; TRX-201819-OUT-025,"count where fee_value_status in {'ESTIMATED', 'BASE_PLUS_ADDONS'}",Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0375,2018/19,undisclosed_fee_count,TRANSFER,arsenal_transfers.csv,undisclosed_fee_count,TRX-201819-IN-014; TRX-201819-IN-015; TRX-201819-IN-016; TRX-201819-IN-017; TRX-201819-IN-018; TRX-201819-OUT-024; TRX-201819-OUT-025; TRX-201819-OUT-026,count where fee_disclosure_status == 'UNDISCLOSED',Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0376,2018/19,zero_free_count,TRANSFER,arsenal_transfers.csv,zero_free_count,TRX-201819-IN-013; TRX-201819-OUT-021; TRX-201819-OUT-022; TRX-201819-OUT-023,count where fee_value_status == 'ZERO',Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0377,2018/19,loan_fee_count,TRANSFER,arsenal_transfers.csv,loan_fee_count,TRX-201819-IN-018; TRX-201819-OUT-026,count where fee_value_status == 'LOAN_FEE',Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0378,2018/19,transaction_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,transaction_coverage_pct,TRX-DER-2018-TRX_COV_PCT,(verified_transactions / identified_total) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0379,2018/19,numerical_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,numerical_fee_coverage_pct,TRX-DER-2018-NUM_COV_PCT,(numerical_fees / non_free_transactions) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0380,2018/19,exact_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,exact_fee_coverage_pct,TRX-DER-2018-EXACT_COV_PCT,(exact_fee_count / transaction_count) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0381,2018/19,primary_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,primary_fee_coverage_pct,TRX-DER-2018-PRIM_COV_PCT,((exact_fee_count + zero_free_count) / transaction_count) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0382,2018/19,estimated_value_share_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,estimated_value_share_pct,TRX-DER-2018-EST_VAL_SHARE,(estimated_consideration / total_season_consideration) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0383,2018/19,classification,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,classification,TRX-DER-2018-CLASS,Structural classification: all 10 seasons verified as CORE,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0384,2018/19,notes,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,notes,TRX-DER-2018-NOTES,Structured seasonal transfer audit summary string,Reconciled Transaction Ledger & Primary Disclosures
MST-2018-0385,2018/19,league_position,SPORTING,arsenal_sporting.csv,league_position,SPT-PROV-2018-133,Direct Ranking from Official Table,Primary Regulatory Record
MST-2018-0386,2018/19,points,SPORTING,arsenal_sporting.csv,points,SPT-PROV-2018-134,None (Directly Reported),Primary Regulatory Record
MST-2018-0387,2018/19,matches_played,SPORTING,arsenal_sporting.csv,matches_played,SPT-PROV-2018-135,None (Directly Reported),Primary Regulatory Record
MST-2018-0388,2018/19,wins,SPORTING,arsenal_sporting.csv,wins,SPT-PROV-2018-136,None (Directly Reported),Primary Regulatory Record
MST-2018-0389,2018/19,draws,SPORTING,arsenal_sporting.csv,draws,SPT-PROV-2018-137,None (Directly Reported),Primary Regulatory Record
MST-2018-0390,2018/19,losses,SPORTING,arsenal_sporting.csv,losses,SPT-PROV-2018-138,None (Directly Reported),Primary Regulatory Record
MST-2018-0391,2018/19,goals_for,SPORTING,arsenal_sporting.csv,goals_for,SPT-PROV-2018-139,None (Directly Reported),Primary Regulatory Record
MST-2018-0392,2018/19,goals_against,SPORTING,arsenal_sporting.csv,goals_against,SPT-PROV-2018-140,None (Directly Reported),Primary Regulatory Record
MST-2018-0393,2018/19,goal_difference,SPORTING,arsenal_sporting.csv,goal_difference,SPT-PROV-2018-141,goals_for - goals_against,Derived from Primary Inputs
MST-2018-0394,2018/19,ppg,SPORTING,arsenal_sporting.csv,ppg,SPT-PROV-2018-142,points / matches_played,Derived from Primary Inputs
